market,event_phase,inclusion,window,window_slug,sample_filter,n_events,mean_car,std_car,se_car,ci_low_95,ci_high_95,t_stat,p_value,se_car_clustered,p_value_clustered
CN,announce,1,"[-3,+3]",m3_p3,nonoverlap_120d,137,0.015326715328467175,0.05785422001982382,0.004942819590516682,0.005638788931054479,0.02501464172587987,3.100804115503849,0.0023467115292975975,0.007927295799892355,0.05318567375579296
CN,announce,1,"[-1,+1]",m1_p1,nonoverlap_120d,137,0.020697963503649636,0.03738633496117983,0.0031941301568047848,0.014437468396312257,0.026958458610987016,6.480000027411102,1.5560078403999203e-09,0.003869946089059458,8.874229521970154e-08
CN,effective,0,"[-5,+5]",m5_p5,nonoverlap_120d,137,6.197080292046086e-06,0.0776961961067175,0.006638034011923729,-0.01300434958307846,0.013016743743662554,0.0009335716389693742,0.9992564857107082,0.009036234799508573,0.9994528081209492
CN,effective,0,"[-3,+3]",m3_p3,nonoverlap_120d,137,0.003141773722627791,0.06322072110157259,0.005401310719950416,-0.007444795288475022,0.013728342733730605,0.5816687625511446,0.5617527047163019,0.008045105170040954,0.6961521379133573
CN,effective,0,"[-1,+1]",m1_p1,nonoverlap_120d,137,-0.001524087591240869,0.04212304640040997,0.0035988147258548702,-0.008577764453916415,0.0055295892714346765,-0.4234970976114458,0.6726016100101045,0.004779418663212785,0.7498132954913339
CN,effective,1,"[-5,+5]",m5_p5,nonoverlap_120d,137,0.007412240875912467,0.07687868609120907,0.006568189417722751,-0.005461410382824124,0.02028589213464906,1.1285059556766492,0.2610930878489409,0.007564662154889276,0.32715973206940496
CN,effective,1,"[-3,+3]",m3_p3,nonoverlap_120d,137,-0.00736110948905104,0.06184974484025049,0.005284180313209573,-0.017718102902941804,0.0029958839248397234,-1.3930466132371542,0.16587854156666773,0.009774694303857242,0.45140290530533933
CN,effective,1,"[-1,+1]",m1_p1,nonoverlap_120d,137,0.004947445255474445,0.046147098171295316,0.003942612670405328,-0.0027800755785199983,0.01267496608946889,1.2548646466369249,0.21168002954708484,0.005750332419755521,0.3895820746764379
US,announce,0,"[-5,+5]",m5_p5,nonoverlap_120d,111,-0.007498245908625759,0.1034159792085831,0.009815810355440085,-0.026737234205288323,0.011740742388036806,-0.763894740944145,0.4465653991367061,0.01047924443200899,0.474279715773013
US,announce,0,"[-3,+3]",m3_p3,nonoverlap_120d,111,-0.007037440969829943,0.09663839446252255,0.00917251048007873,-0.025015561510784254,0.010940679571124367,-0.7672317175449592,0.4445874146731081,0.01004554577670488,0.4835817860730728
US,announce,0,"[-1,+1]",m1_p1,nonoverlap_120d,111,-0.00011239322885554735,0.08846140043476249,0.008396384553811842,-0.01656930695432676,0.016344520496615663,-0.013385907724357668,0.9893441577722942,0.009134527937457386,0.9901829016282422
US,announce,1,"[-5,+5]",m5_p5,nonoverlap_120d,252,0.014519232880603949,0.08639015781322298,0.005442068411843133,0.0038527787933914093,0.02518568696781649,2.6679622124938596,0.00812811664885646,0.005560252365398904,0.009021078575198248
US,announce,1,"[-3,+3]",m3_p3,nonoverlap_120d,251,0.015576021310745125,0.07406963620603789,0.004675233981274151,0.006412562707447788,0.02473947991404246,3.331602519388807,0.0009940517624582622,0.0048819659050060174,0.0014201585816151657
US,announce,1,"[-1,+1]",m1_p1,nonoverlap_120d,250,0.01896959024672821,0.05610223526192707,0.0035482169050860537,0.012015085112759543,0.025924095380696874,5.346231855086701,2.030770864321529e-07,0.0037883572392916204,5.518758120806407e-07
US,effective,0,"[-5,+5]",m5_p5,nonoverlap_120d,111,-0.004162392763439599,0.09319368390859459,0.008845553023547356,-0.021499676689592413,0.013174891162713217,-0.4705633160933045,0.6388843413520644,0.009558292473089343,0.663218034689943
US,effective,0,"[-3,+3]",m3_p3,nonoverlap_120d,111,0.008730889865364713,0.10157936608653308,0.009641486752450312,-0.010166424169437898,0.027628203900167323,0.9055543081201478,0.36715101481403245,0.010237269254873336,0.39374060789043186
US,effective,0,"[-1,+1]",m1_p1,nonoverlap_120d,108,-0.004751086752948471,0.06784122909688714,0.006528025313540477,-0.017546016367487805,0.008043842861590864,-0.7277984573824694,0.4683265900436867,0.006922899653932015,0.49253299037850906
US,effective,1,"[-5,+5]",m5_p5,nonoverlap_120d,254,0.0010875850684947494,0.0820226375214286,0.005146558006556332,-0.00899966862435566,0.01117483876134516,0.21132280392239766,0.832805511501434,0.005482424724754671,0.8427503824723777
US,effective,1,"[-3,+3]",m3_p3,nonoverlap_120d,254,0.00015202838492422375,0.06556190438997482,0.004113719750540262,-0.00791086232613469,0.008214919095983136,0.03695642730748918,0.9705488906614543,0.004275029291966162,0.9716316473143534
US,effective,1,"[-1,+1]",m1_p1,nonoverlap_120d,253,-0.0007132571975779453,0.04456357068996803,0.002801687684941291,-0.006204565060062875,0.004778050664906984,-0.2545812659318205,0.7992541543249408,0.0029232302266188137,0.807233728365472
CN,announce,0,"[0,+5]",p0_p5,nonoverlap_120d,137,-0.019446598540145982,0.04723840499179166,0.004035849304306287,-0.027356863176586303,-0.01153633390370566,-4.818464980691001,3.809720290266681e-06,0.004240047010802528,4.509303494114468e-06
CN,announce,0,"[0,+20]",p0_p20,nonoverlap_120d,137,-0.026521686131386734,0.09589979715151764,0.008193272606988312,-0.04258050044108383,-0.010462871821689642,-3.2370076529329093,0.0015174059052240653,0.017219650492148863,0.1235118866673785
CN,announce,0,"[0,+60]",p0_p60,nonoverlap_120d,137,-0.01577208759124072,0.15853334009873093,0.01354441731167664,-0.042319145522126934,0.010774970339645494,-1.164471473988298,0.2462716139562226,0.02498941223840053,0.5279419262977614
CN,announce,0,"[0,+120]",p0_p120,nonoverlap_120d,137,0.018313036496350465,0.2521957043512277,0.02154653312557436,-0.02391816842977528,0.06054424142247621,0.849929610003665,0.39685798777953624,0.05234895002724631,0.7264691031263597
