event_id,status,selected_controls,sector_relaxed,sector_filter_mode
CN-csi300-302132-20250530-20250613-add-01,matched,3,True,penalized
CN-csi300-600023-20200601-20200615-del-01,matched,3,True,penalized
CN-csi300-600023-20231124-20231208-add-02,matched,3,True,penalized
CN-csi300-600026-20240531-20240614-add-01,matched,3,True,penalized
CN-csi300-600027-20240531-20240614-add-01,matched,3,True,penalized
CN-csi300-600066-20241129-20241213-add-01,skipped_missing_target_snapshot,0,,
CN-csi300-600079-20220527-20220610-del-01,matched,3,True,penalized
CN-csi300-600089-20220527-20220610-add-01,matched,3,True,penalized
CN-csi300-600100-20200601-20200615-del-01,matched,3,True,penalized
CN-csi300-600109-20220527-20220610-del-01,matched,3,True,penalized
CN-csi300-600118-20211126-20211210-del-01,matched,3,True,penalized
CN-csi300-600132-20241129-20241213-del-01,skipped_missing_target_snapshot,0,,
CN-csi300-600143-20220527-20220610-del-01,matched,3,True,penalized
CN-csi300-600153-20200601-20200615-del-01,matched,3,True,penalized
CN-csi300-600160-20241129-20241213-add-01,skipped_missing_target_snapshot,0,,
CN-csi300-600161-20240531-20240614-add-01,matched,3,True,penalized
CN-csi300-600188-20220527-20220610-add-01,matched,3,True,penalized
CN-csi300-600219-20220527-20220610-add-01,matched,3,True,penalized
CN-csi300-600233-20211126-20211210-del-01,matched,3,True,penalized
CN-csi300-600299-20211126-20211210-del-01,matched,3,True,penalized
CN-csi300-600332-20251128-20251212-del-01,skipped_missing_target_snapshot,0,,
CN-csi300-600340-20211126-20211210-del-01,matched,3,True,penalized
CN-csi300-600372-20231124-20231208-add-01,matched,3,True,penalized
CN-csi300-600377-20241129-20241213-add-01,skipped_missing_target_snapshot,0,,
CN-csi300-600383-20231124-20231208-del-01,matched,3,True,penalized
CN-csi300-600415-20240531-20240614-add-01,matched,3,True,penalized
CN-csi300-600460-20220527-20220610-add-01,matched,3,True,penalized
CN-csi300-600482-20211126-20211210-del-01,matched,3,True,penalized
CN-csi300-600482-20241129-20241213-add-02,matched,3,True,penalized
CN-csi300-600489-20231124-20231208-add-01,matched,3,True,penalized
CN-csi300-600515-20231124-20231208-add-01,matched,3,True,penalized
